month,total_posts,topic,cluster_label,cluster_n,post_count,share_all_posts
2023-01-01,2242,2,"Raises and salary
Compensation and pay rights",1737,38,0.01694915254237288
2023-02-01,1970,2,"Raises and salary
Compensation and pay rights",1737,26,0.013197969543147208
2023-03-01,2059,2,"Raises and salary
Compensation and pay rights",1737,38,0.018455560951918408
2023-04-01,1626,2,"Raises and salary
Compensation and pay rights",1737,24,0.014760147601476014
2023-05-01,1931,2,"Raises and salary
Compensation and pay rights",1737,38,0.01967892283790782
2023-06-01,1311,2,"Raises and salary
Compensation and pay rights",1737,33,0.02517162471395881
2023-07-01,2747,2,"Raises and salary
Compensation and pay rights",1737,41,0.014925373134328358
2023-08-01,3114,2,"Raises and salary
Compensation and pay rights",1737,51,0.016377649325626204
2023-09-01,2070,2,"Raises and salary
Compensation and pay rights",1737,31,0.01497584541062802
2023-10-01,1746,2,"Raises and salary
Compensation and pay rights",1737,17,0.009736540664375716
2023-11-01,1558,2,"Raises and salary
Compensation and pay rights",1737,7,0.004492939666238768
2023-12-01,1548,2,"Raises and salary
Compensation and pay rights",1737,21,0.013565891472868217
2024-01-01,1526,2,"Raises and salary
Compensation and pay rights",1737,26,0.01703800786369594
2024-02-01,1372,2,"Raises and salary
Compensation and pay rights",1737,21,0.015306122448979591
2024-03-01,1313,2,"Raises and salary
Compensation and pay rights",1737,24,0.01827875095201828
2024-04-01,1174,2,"Raises and salary
Compensation and pay rights",1737,16,0.013628620102214651
2024-05-01,1247,2,"Raises and salary
Compensation and pay rights",1737,13,0.010425020048115477
2024-06-01,1192,2,"Raises and salary
Compensation and pay rights",1737,17,0.014261744966442953
2024-07-01,1123,2,"Raises and salary
Compensation and pay rights",1737,11,0.009795191451469279
2024-08-01,1059,2,"Raises and salary
Compensation and pay rights",1737,14,0.013220018885741265
2024-09-01,909,2,"Raises and salary
Compensation and pay rights",1737,5,0.005500550055005501
2024-10-01,936,2,"Raises and salary
Compensation and pay rights",1737,8,0.008547008547008548
2024-11-01,841,2,"Raises and salary
Compensation and pay rights",1737,5,0.005945303210463734
2024-12-01,722,2,"Raises and salary
Compensation and pay rights",1737,5,0.006925207756232687
2025-01-01,807,2,"Raises and salary
Compensation and pay rights",1737,5,0.006195786864931847
2025-02-01,637,2,"Raises and salary
Compensation and pay rights",1737,7,0.01098901098901099
2021-03-01,255,4,"COVID and workplace illness
Health safety and attendance",1329,6,0.023529411764705882
2021-04-01,294,4,"COVID and workplace illness
Health safety and attendance",1329,4,0.013605442176870748
2021-05-01,344,4,"COVID and workplace illness
Health safety and attendance",1329,5,0.014534883720930232
2021-06-01,372,4,"COVID and workplace illness
Health safety and attendance",1329,6,0.016129032258064516
2021-07-01,350,4,"COVID and workplace illness
Health safety and attendance",1329,4,0.011428571428571429
2021-08-01,422,4,"COVID and workplace illness
Health safety and attendance",1329,8,0.018957345971563982
2021-09-01,669,4,"COVID and workplace illness
Health safety and attendance",1329,9,0.013452914798206279
2021-10-01,2962,4,"COVID and workplace illness
Health safety and attendance",1329,34,0.011478730587440918
2021-11-01,5872,4,"COVID and workplace illness
Health safety and attendance",1329,74,0.012602179836512262
2021-12-01,6998,4,"COVID and workplace illness
Health safety and attendance",1329,232,0.033152329236924835
2022-01-01,6485,4,"COVID and workplace illness
Health safety and attendance",1329,391,0.060292983808789516
2022-02-01,3253,4,"COVID and workplace illness
Health safety and attendance",1329,47,0.014448201660006148
2022-03-01,4033,4,"COVID and workplace illness
Health safety and attendance",1329,38,0.009422266303000248
2022-04-01,3996,4,"COVID and workplace illness
Health safety and attendance",1329,49,0.012262262262262262
2022-05-01,2851,4,"COVID and workplace illness
Health safety and attendance",1329,32,0.011224131883549631
2022-06-01,2821,4,"COVID and workplace illness
Health safety and attendance",1329,48,0.017015242821694435
2022-07-01,3669,4,"COVID and workplace illness
Health safety and attendance",1329,56,0.015263014445352958
2022-08-01,3667,4,"COVID and workplace illness
Health safety and attendance",1329,51,0.013907826561221708
2022-09-01,2547,4,"COVID and workplace illness
Health safety and attendance",1329,22,0.008637612877895563
2022-10-01,2289,4,"COVID and workplace illness
Health safety and attendance",1329,12,0.005242463958060288
2022-11-01,2049,4,"COVID and workplace illness
Health safety and attendance",1329,13,0.00634455832113226
2022-12-01,2276,4,"COVID and workplace illness
Health safety and attendance",1329,27,0.011862917398945518
2023-01-01,2242,4,"COVID and workplace illness
Health safety and attendance",1329,10,0.0044603033006244425
2023-02-01,1970,4,"COVID and workplace illness
Health safety and attendance",1329,14,0.007106598984771574
2023-03-01,2059,4,"COVID and workplace illness
Health safety and attendance",1329,12,0.005828071879553181
2023-04-01,1626,4,"COVID and workplace illness
Health safety and attendance",1329,8,0.004920049200492005
2023-05-01,1931,4,"COVID and workplace illness
Health safety and attendance",1329,6,0.0031071983428275505
2023-06-01,1311,4,"COVID and workplace illness
Health safety and attendance",1329,2,0.0015255530129672007
2023-07-01,2747,4,"COVID and workplace illness
Health safety and attendance",1329,7,0.0025482344375682563
2023-08-01,3114,4,"COVID and workplace illness
Health safety and attendance",1329,17,0.005459216441875401
2023-09-01,2070,4,"COVID and workplace illness
Health safety and attendance",1329,17,0.00821256038647343
2023-10-01,1746,4,"COVID and workplace illness
Health safety and attendance",1329,7,0.004009163802978236
2023-11-01,1558,4,"COVID and workplace illness
Health safety and attendance",1329,5,0.003209242618741977
2023-12-01,1548,4,"COVID and workplace illness
Health safety and attendance",1329,10,0.006459948320413436
2024-01-01,1526,4,"COVID and workplace illness
Health safety and attendance",1329,5,0.00327653997378768
2024-02-01,1372,4,"COVID and workplace illness
Health safety and attendance",1329,4,0.0029154518950437317
2024-03-01,1313,4,"COVID and workplace illness
Health safety and attendance",1329,6,0.00456968773800457
2024-04-01,1174,4,"COVID and workplace illness
Health safety and attendance",1329,2,0.0017035775127768314
2024-05-01,1247,4,"COVID and workplace illness
Health safety and attendance",1329,3,0.0024057738572574178
2024-06-01,1192,4,"COVID and workplace illness
Health safety and attendance",1329,1,0.0008389261744966443
2024-07-01,1123,4,"COVID and workplace illness
Health safety and attendance",1329,6,0.005342831700801425
2024-08-01,1059,4,"COVID and workplace illness
Health safety and attendance",1329,5,0.004721435316336166
2024-09-01,909,4,"COVID and workplace illness
Health safety and attendance",1329,2,0.0022002200220022
2024-10-01,936,4,"COVID and workplace illness
Health safety and attendance",1329,1,0.0010683760683760685
2024-11-01,841,4,"COVID and workplace illness
Health safety and attendance",1329,3,0.0035671819262782403
2024-12-01,722,4,"COVID and workplace illness
Health safety and attendance",1329,3,0.004155124653739612
2025-01-01,807,4,"COVID and workplace illness
Health safety and attendance",1329,4,0.004956629491945477
2025-02-01,637,4,"COVID and workplace illness
Health safety and attendance",1329,1,0.0015698587127158557
2021-03-01,255,5,"Payroll and withheld wages
Compensation and pay rights",1130,0,0.0
2021-04-01,294,5,"Payroll and withheld wages
Compensation and pay rights",1130,0,0.0
2021-05-01,344,5,"Payroll and withheld wages
Compensation and pay rights",1130,0,0.0
2021-06-01,372,5,"Payroll and withheld wages
Compensation and pay rights",1130,0,0.0
2021-07-01,350,5,"Payroll and withheld wages
Compensation and pay rights",1130,0,0.0
2021-08-01,422,5,"Payroll and withheld wages
Compensation and pay rights",1130,3,0.0071090047393364926
2021-09-01,669,5,"Payroll and withheld wages
Compensation and pay rights",1130,6,0.008968609865470852
2021-10-01,2962,5,"Payroll and withheld wages
Compensation and pay rights",1130,12,0.004051316677920324
2021-11-01,5872,5,"Payroll and withheld wages
Compensation and pay rights",1130,46,0.007833787465940054
2021-12-01,6998,5,"Payroll and withheld wages
Compensation and pay rights",1130,64,0.009145470134324093
2022-01-01,6485,5,"Payroll and withheld wages
Compensation and pay rights",1130,63,0.009714726291441789
2022-02-01,3253,5,"Payroll and withheld wages
Compensation and pay rights",1130,36,0.011066707654472794
2022-03-01,4033,5,"Payroll and withheld wages
Compensation and pay rights",1130,50,0.012397718819737169
2022-04-01,3996,5,"Payroll and withheld wages
Compensation and pay rights",1130,54,0.013513513513513514
2022-05-01,2851,5,"Payroll and withheld wages
Compensation and pay rights",1130,30,0.01052262364082778
2022-06-01,2821,5,"Payroll and withheld wages
Compensation and pay rights",1130,44,0.015597305919886565
2022-07-01,3669,5,"Payroll and withheld wages
Compensation and pay rights",1130,34,0.009266830198964295
2022-08-01,3667,5,"Payroll and withheld wages
Compensation and pay rights",1130,51,0.013907826561221708
2022-09-01,2547,5,"Payroll and withheld wages
Compensation and pay rights",1130,30,0.011778563015312132
2022-10-01,2289,5,"Payroll and withheld wages
Compensation and pay rights",1130,24,0.010484927916120577
2022-11-01,2049,5,"Payroll and withheld wages
Compensation and pay rights",1130,26,0.01268911664226452
2022-12-01,2276,5,"Payroll and withheld wages
Compensation and pay rights",1130,30,0.013181019332161687
2023-01-01,2242,5,"Payroll and withheld wages
Compensation and pay rights",1130,25,0.011150758251561105
2023-02-01,1970,5,"Payroll and withheld wages
Compensation and pay rights",1130,38,0.019289340101522844
2023-03-01,2059,5,"Payroll and withheld wages
Compensation and pay rights",1130,25,0.012141816415735794
2023-04-01,1626,5,"Payroll and withheld wages
Compensation and pay rights",1130,34,0.020910209102091022
2023-05-01,1931,5,"Payroll and withheld wages
Compensation and pay rights",1130,26,0.013464526152252718
2023-06-01,1311,5,"Payroll and withheld wages
Compensation and pay rights",1130,14,0.010678871090770405
2023-07-01,2747,5,"Payroll and withheld wages
Compensation and pay rights",1130,30,0.010921004732435385
2023-08-01,3114,5,"Payroll and withheld wages
Compensation and pay rights",1130,38,0.012202954399486191
2023-09-01,2070,5,"Payroll and withheld wages
Compensation and pay rights",1130,37,0.017874396135265702
2023-10-01,1746,5,"Payroll and withheld wages
Compensation and pay rights",1130,17,0.009736540664375716
2023-11-01,1558,5,"Payroll and withheld wages
Compensation and pay rights",1130,23,0.014762516046213094
2023-12-01,1548,5,"Payroll and withheld wages
Compensation and pay rights",1130,28,0.01808785529715762
2024-01-01,1526,5,"Payroll and withheld wages
Compensation and pay rights",1130,23,0.01507208387942333
2024-02-01,1372,5,"Payroll and withheld wages
Compensation and pay rights",1130,18,0.013119533527696793
2024-03-01,1313,5,"Payroll and withheld wages
Compensation and pay rights",1130,14,0.010662604722010662
2024-04-01,1174,5,"Payroll and withheld wages
Compensation and pay rights",1130,13,0.011073253833049404
2024-05-01,1247,5,"Payroll and withheld wages
Compensation and pay rights",1130,20,0.01603849238171612
2024-06-01,1192,5,"Payroll and withheld wages
Compensation and pay rights",1130,16,0.013422818791946308
2024-07-01,1123,5,"Payroll and withheld wages
Compensation and pay rights",1130,12,0.01068566340160285
2024-08-01,1059,5,"Payroll and withheld wages
Compensation and pay rights",1130,18,0.0169971671388102
2024-09-01,909,5,"Payroll and withheld wages
Compensation and pay rights",1130,11,0.0121012101210121
2024-10-01,936,5,"Payroll and withheld wages
Compensation and pay rights",1130,8,0.008547008547008548
2024-11-01,841,5,"Payroll and withheld wages
Compensation and pay rights",1130,14,0.016646848989298454
2024-12-01,722,5,"Payroll and withheld wages
Compensation and pay rights",1130,4,0.00554016620498615
2025-01-01,807,5,"Payroll and withheld wages
Compensation and pay rights",1130,11,0.013630731102850062
2025-02-01,637,5,"Payroll and withheld wages
Compensation and pay rights",1130,10,0.015698587127158554
2021-03-01,255,6,"Remote hybrid and return-to-office
Work arrangements and control",963,4,0.01568627450980392
2021-04-01,294,6,"Remote hybrid and return-to-office
Work arrangements and control",963,3,0.01020408163265306
2021-05-01,344,6,"Remote hybrid and return-to-office
Work arrangements and control",963,2,0.005813953488372093
2021-06-01,372,6,"Remote hybrid and return-to-office
Work arrangements and control",963,5,0.013440860215053764
2021-07-01,350,6,"Remote hybrid and return-to-office
Work arrangements and control",963,9,0.025714285714285714
2021-08-01,422,6,"Remote hybrid and return-to-office
Work arrangements and control",963,11,0.026066350710900472
2021-09-01,669,6,"Remote hybrid and return-to-office
Work arrangements and control",963,12,0.017937219730941704
2021-10-01,2962,6,"Remote hybrid and return-to-office
Work arrangements and control",963,12,0.004051316677920324
2021-11-01,5872,6,"Remote hybrid and return-to-office
Work arrangements and control",963,34,0.0057901907356948225
2021-12-01,6998,6,"Remote hybrid and return-to-office
Work arrangements and control",963,39,0.005573020863103744
2022-01-01,6485,6,"Remote hybrid and return-to-office
Work arrangements and control",963,48,0.0074016962220508865
2022-02-01,3253,6,"Remote hybrid and return-to-office
Work arrangements and control",963,24,0.007377805102981863
2022-03-01,4033,6,"Remote hybrid and return-to-office
Work arrangements and control",963,62,0.01537317133647409
2022-04-01,3996,6,"Remote hybrid and return-to-office
Work arrangements and control",963,53,0.013263263263263263
2022-05-01,2851,6,"Remote hybrid and return-to-office
Work arrangements and control",963,32,0.011224131883549631
2022-06-01,2821,6,"Remote hybrid and return-to-office
Work arrangements and control",963,36,0.012761432116270826
2022-07-01,3669,6,"Remote hybrid and return-to-office
Work arrangements and control",963,37,0.010084491687108205
2022-08-01,3667,6,"Remote hybrid and return-to-office
Work arrangements and control",963,29,0.007908371966184892
2022-09-01,2547,6,"Remote hybrid and return-to-office
Work arrangements and control",963,39,0.015312131919905771
2022-10-01,2289,6,"Remote hybrid and return-to-office
Work arrangements and control",963,25,0.010921799912625601
2022-11-01,2049,6,"Remote hybrid and return-to-office
Work arrangements and control",963,19,0.009272816007808687
2022-12-01,2276,6,"Remote hybrid and return-to-office
Work arrangements and control",963,17,0.007469244288224956
2023-01-01,2242,6,"Remote hybrid and return-to-office
Work arrangements and control",963,15,0.006690454950936664
2023-02-01,1970,6,"Remote hybrid and return-to-office
Work arrangements and control",963,24,0.012182741116751269
2023-03-01,2059,6,"Remote hybrid and return-to-office
Work arrangements and control",963,18,0.008742107819329771
2023-04-01,1626,6,"Remote hybrid and return-to-office
Work arrangements and control",963,20,0.012300123001230012
2023-05-01,1931,6,"Remote hybrid and return-to-office
Work arrangements and control",963,26,0.013464526152252718
2023-06-01,1311,6,"Remote hybrid and return-to-office
Work arrangements and control",963,13,0.009916094584286803
2023-07-01,2747,6,"Remote hybrid and return-to-office
Work arrangements and control",963,27,0.009828904259191846
2023-08-01,3114,6,"Remote hybrid and return-to-office
Work arrangements and control",963,34,0.010918432883750802
