rolling_window,posts,negative_count,negative_hard_share,negative_mean_probability,neutral_count,neutral_hard_share,neutral_mean_probability,positive_count,positive_hard_share,positive_mean_probability,mean_max_probability,truncated_share
Y1_2021-22,28276,16923,0.5984934219833073,0.5175252556800842,8838,0.3125618899420003,0.35928285121917725,2515,0.08894468807469232,0.12319187819957733,0.6925219297409058,0.18842834913000425
Y2_2022-23,34410,21441,0.6231037489102005,0.5373043417930603,10711,0.3112757919209532,0.36183783411979675,2258,0.06562045916884626,0.10085780918598175,0.7021379470825195,0.15042138913106656
Y3_2023-24,22608,14691,0.6498142250530785,0.5554216504096985,6705,0.2965764331210191,0.35517388582229614,1212,0.05360934182590234,0.08940447866916656,0.7012708187103271,0.16012031139419675
Y4_2024-25,11960,8096,0.676923076923077,0.5765771269798279,3289,0.275,0.34184277057647705,575,0.04807692307692308,0.08158007264137268,0.7085739970207214,0.1532608695652174
