candidate_theme,posts,negative_mean_probability,neutral_mean_probability,positive_mean_probability,hard_negative_share,hard_neutral_share,hard_positive_share,mean_max_probability
Compensation and pay rights,3592,0.48542187,0.39193192,0.122646205,0.5470489977728286,0.3655345211581292,0.08741648106904232,0.68032736
Health safety and attendance,3302,0.6147671,0.32465,0.060582962,0.7404603270745003,0.22955784373107208,0.02998182919442762,0.7057853
Career precarity and exit,2613,0.5727218,0.32203898,0.105239265,0.6678147722923843,0.26444699579027936,0.0677382319173364,0.70915675
Scheduling hours and time off,2449,0.47735628,0.44210702,0.080536716,0.5328705594120049,0.43119640669661086,0.03593303389138424,0.6775091
Recruitment and labor market,2170,0.47994378,0.40804273,0.11201349,0.5447004608294931,0.3866359447004608,0.06866359447004608,0.68517405
Work arrangements and control,1291,0.44375172,0.4529056,0.103342675,0.47714949651433,0.4632068164213788,0.05964368706429125,0.66298354
Workplace authority and interpersonal conflict,1240,0.6203101,0.29403442,0.08565543,0.7475806451612903,0.19838709677419356,0.05403225806451613,0.719582
Service work and tips,1235,0.49891865,0.40727618,0.09380515,0.5676113360323887,0.38299595141700404,0.04939271255060729,0.6843402
Collective worker power and rights,614,0.43050298,0.42178962,0.14770739,0.4739413680781759,0.4169381107491857,0.10912052117263844,0.68959606
