month,candidate_theme,posts,negative_mean_probability,neutral_mean_probability,positive_mean_probability,hard_negative_share,hard_neutral_share,hard_positive_share,mean_max_probability
2021-09-01,Scheduling hours and time off,13,0.5814459,0.35779935,0.0607548,0.6923076923076923,0.3076923076923077,0.0,0.6900003
2021-09-01,Service work and tips,6,0.42661843,0.43852487,0.1348567,0.5,0.5,0.0,0.581295
2021-09-01,Work arrangements and control,12,0.41718793,0.39722404,0.18558806,0.5,0.25,0.25,0.59765714
2021-09-01,Workplace authority and interpersonal conflict,9,0.6678353,0.20173328,0.13043141,0.8888888888888888,0.0,0.1111111111111111,0.7640858
2021-10-01,Career precarity and exit,71,0.5686654,0.32278958,0.108545005,0.647887323943662,0.29577464788732394,0.056338028169014086,0.7138292
2021-10-01,Collective worker power and rights,18,0.44105762,0.34740058,0.21154179,0.4444444444444444,0.3888888888888889,0.16666666666666666,0.7405495
2021-10-01,Compensation and pay rights,71,0.3969003,0.4308441,0.1722556,0.38028169014084506,0.49295774647887325,0.1267605633802817,0.6607956
2021-10-01,Health safety and attendance,84,0.62495315,0.32360405,0.051442787,0.7261904761904762,0.25,0.023809523809523808,0.71011543
2021-10-01,Recruitment and labor market,73,0.4993327,0.39734396,0.10332334,0.5616438356164384,0.3698630136986301,0.0684931506849315,0.67389137
2021-10-01,Scheduling hours and time off,39,0.40356028,0.46138617,0.13505358,0.4358974358974359,0.46153846153846156,0.10256410256410256,0.66607606
2021-10-01,Service work and tips,28,0.4678495,0.3883554,0.14379512,0.5714285714285714,0.32142857142857145,0.10714285714285714,0.6808582
2021-10-01,Work arrangements and control,24,0.53717345,0.33623168,0.12659486,0.6666666666666666,0.25,0.08333333333333333,0.6776748
2021-10-01,Workplace authority and interpersonal conflict,18,0.4690799,0.34859174,0.18232834,0.5555555555555556,0.2777777777777778,0.16666666666666666,0.67642105
2021-11-01,Career precarity and exit,123,0.543646,0.34080577,0.11554828,0.6422764227642277,0.2926829268292683,0.06504065040650407,0.6882493
2021-11-01,Collective worker power and rights,50,0.30313176,0.45604873,0.2408195,0.32,0.48,0.2,0.6841336
2021-11-01,Compensation and pay rights,174,0.4627146,0.40262973,0.13465562,0.5172413793103449,0.3850574712643678,0.09770114942528736,0.65885067
2021-11-01,Health safety and attendance,173,0.6078214,0.3252476,0.06693098,0.7341040462427746,0.23121387283236994,0.03468208092485549,0.704747
2021-11-01,Recruitment and labor market,140,0.44051164,0.41715223,0.14233615,0.4714285714285714,0.42857142857142855,0.1,0.6546917
2021-11-01,Scheduling hours and time off,99,0.4679884,0.4253977,0.10661392,0.46464646464646464,0.46464646464646464,0.0707070707070707,0.68550116
2021-11-01,Service work and tips,80,0.44438416,0.43212032,0.12349556,0.4875,0.425,0.0875,0.6720716
2021-11-01,Work arrangements and control,49,0.42003834,0.47389948,0.10606219,0.4489795918367347,0.5102040816326531,0.04081632653061224,0.6523538
2021-11-01,Workplace authority and interpersonal conflict,52,0.61619925,0.28933018,0.09447051,0.7307692307692307,0.21153846153846154,0.057692307692307696,0.7147726
2021-12-01,Career precarity and exit,172,0.5898179,0.2950707,0.11511138,0.6976744186046512,0.22674418604651161,0.0755813953488372,0.72430736
2021-12-01,Collective worker power and rights,81,0.40374818,0.4400504,0.15620144,0.4444444444444444,0.41975308641975306,0.13580246913580246,0.67627484
2021-12-01,Compensation and pay rights,260,0.44513756,0.40060353,0.1542589,0.5076923076923077,0.36538461538461536,0.12692307692307692,0.67540103
2021-12-01,Health safety and attendance,385,0.6079998,0.33324632,0.05875386,0.7350649350649351,0.23636363636363636,0.02857142857142857,0.69385743
2021-12-01,Recruitment and labor market,109,0.41942403,0.45733136,0.12324459,0.44954128440366975,0.47706422018348627,0.07339449541284404,0.69805676
2021-12-01,Scheduling hours and time off,146,0.49104345,0.4286246,0.08033196,0.5684931506849316,0.3972602739726027,0.03424657534246575,0.6546558
2021-12-01,Service work and tips,116,0.4985431,0.40789598,0.09356089,0.5517241379310345,0.39655172413793105,0.05172413793103448,0.6687234
2021-12-01,Work arrangements and control,71,0.47841793,0.44638088,0.07520118,0.49295774647887325,0.49295774647887325,0.014084507042253521,0.6411608
2021-12-01,Workplace authority and interpersonal conflict,45,0.6067593,0.29684713,0.09639356,0.7111111111111111,0.26666666666666666,0.022222222222222223,0.71410227
2022-01-01,Career precarity and exit,163,0.5471642,0.32750446,0.12533133,0.6441717791411042,0.26993865030674846,0.08588957055214724,0.7013417
2022-01-01,Collective worker power and rights,50,0.4289566,0.41955703,0.15148637,0.42,0.42,0.16,0.6558822
2022-01-01,Compensation and pay rights,281,0.44282022,0.39629647,0.16088334,0.498220640569395,0.3736654804270463,0.12811387900355872,0.67585576
2022-01-01,Health safety and attendance,553,0.6083889,0.3243226,0.06728848,0.7432188065099458,0.21699819168173598,0.039783001808318265,0.7012151
2022-01-01,Recruitment and labor market,112,0.5213968,0.39437768,0.08422551,0.5714285714285714,0.38392857142857145,0.044642857142857144,0.68558705
2022-01-01,Scheduling hours and time off,98,0.4626106,0.4500349,0.087354526,0.5204081632653061,0.4489795918367347,0.030612244897959183,0.6670034
2022-01-01,Service work and tips,87,0.47843698,0.407592,0.11397106,0.5632183908045977,0.3793103448275862,0.05747126436781609,0.6821793
2022-01-01,Work arrangements and control,62,0.41802853,0.45024285,0.13172863,0.4032258064516129,0.5,0.0967741935483871,0.6804837
2022-01-01,Workplace authority and interpersonal conflict,52,0.65400505,0.28088537,0.06510958,0.7884615384615384,0.19230769230769232,0.019230769230769232,0.72201437
2022-02-01,Career precarity and exit,86,0.49042594,0.33101735,0.17855671,0.5,0.32558139534883723,0.1744186046511628,0.70522285
2022-02-01,Collective worker power and rights,29,0.32659328,0.45344394,0.21996278,0.3793103448275862,0.41379310344827586,0.20689655172413793,0.69454116
2022-02-01,Compensation and pay rights,154,0.445008,0.40497887,0.15001312,0.5,0.38311688311688313,0.11688311688311688,0.67027503
2022-02-01,Health safety and attendance,132,0.60904396,0.34066024,0.0502958,0.7272727272727273,0.26515151515151514,0.007575757575757576,0.6968181
2022-02-01,Recruitment and labor market,81,0.49967387,0.4217393,0.07858681,0.6049382716049383,0.37037037037037035,0.024691358024691357,0.67995065
2022-02-01,Scheduling hours and time off,55,0.50285655,0.4280569,0.06908657,0.6,0.38181818181818183,0.01818181818181818,0.664992
