seed_a,seed_b,inlier_membership_jaccard,ari_all_documents,ari_joint_inliers,joint_inlier_documents
11,29,0.7740877408774087,0.7207298890154406,0.909990752127371,3776
11,47,0.8055077452667814,0.770007512723432,0.9664651314625187,3744
29,47,0.7718149165434186,0.7255560599614298,0.9000371863711767,3653
